os_name,os_version,ip_checksum,ip_df,ip_hdr_length,ip_id,ip_mf,ip_off,ip_protocol,ip_rf,ip_tos,ip_total_length,ip_ttl,ip_version,tcp_ack,tcp_checksum,tcp_flags,tcp_header_length,tcp_mss,tcp_off,tcp_options,tcp_seq,tcp_timestamp,tcp_timestamp_echo_reply,tcp_urp,tcp_window_scaling,tcp_window_size
Windows,10,10255,1,5,23543,0,16384,6,0,0,52,119,4,0,1871,2,20,1412,8,"M1412,N,W8,N,N,S,",1995928707,,,0,8,8192
Android,12,7501,1,5,42722,0,16384,6,0,0,60,50,4,0,48947,2,20,1380,10,"M1380,S,T,N,W9,",2083837444,3492037350,0,0,9,65535
Android,10,44624,1,5,32591,0,16384,6,0,0,60,42,4,0,26332,2,20,1400,10,"M1400,S,T,N,W9,",3521788551,280112,0,0,9,65535
Android,10,44624,1,5,32591,0,16384,6,0,0,60,42,4,0,26332,2,20,1400,10,"M1400,S,T,N,W9,",3521788551,280112,0,0,9,65535
Android,11,39655,1,5,32860,0,16384,6,0,0,60,51,4,0,18471,2,20,1400,10,"M1400,S,T,N,W8,",430357305,472031500,0,0,8,65535
Windows,10,56672,1,5,13673,0,16384,6,0,0,52,114,4,0,41074,2,20,1412,8,"M1412,N,W8,N,N,S,",3230357943,,,0,8,64240
Linux,x86_64,59244,1,5,18329,0,16384,6,0,0,60,52,4,0,40679,2,20,1412,10,"M1412,S,T,N,W7,",3654630880,2184053809,0,0,7,64240
Mac OS,10.15.7,21639,1,5,0,0,16384,6,0,0,64,50,4,0,63983,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",1297202011,4219359640,0,0,6,65535
Windows,10,21434,1,5,52732,0,16384,6,0,0,52,115,4,0,46230,2,20,1412,8,"M1412,N,W8,N,N,S,",1146997784,,,0,8,64240
Android,9,57036,1,5,18478,0,16384,6,0,0,60,48,4,0,50917,2,20,1460,10,"M1460,S,T,N,W8,",262435841,91372591,0,0,8,65535
iOS,14.5,58114,1,5,0,0,16384,6,0,104,64,44,4,0,24893,2,20,1400,11,"M1400,N,W5,N,N,T,S,E,E,",2885954051,3197810088,0,0,5,65535
Mac OS,10.15.7,12439,1,5,0,0,16384,6,0,0,64,50,4,0,13402,2,20,1452,11,"M1452,N,W6,N,N,T,S,E,E,",830564024,281365390,0,0,6,65535
Windows,10,21477,1,5,52689,0,16384,6,0,0,52,115,4,0,42539,2,20,1412,8,"M1412,N,W8,N,N,S,",3754114863,,,0,8,64240
Windows,10,21434,1,5,52732,0,16384,6,0,0,52,115,4,0,46230,2,20,1412,8,"M1412,N,W8,N,N,S,",1146997784,,,0,8,64240
iOS,15.5,44052,1,5,0,0,16384,6,0,0,64,54,4,0,25524,2,20,1460,11,"M1460,N,W5,N,N,T,S,E,E,",2753234847,3156009026,0,0,5,65535
Android,12,18605,1,5,3036,0,16384,6,0,0,60,51,4,0,56724,2,20,1412,10,"M1412,S,T,N,W9,",945822105,45506517,0,0,9,65535
Mac OS,10.15.7,12439,1,5,0,0,16384,6,0,0,64,50,4,0,48072,2,20,1452,11,"M1452,N,W6,N,N,T,S,E,E,",2766182150,2646054035,0,0,6,65535
Android,10,20942,1,5,49928,0,16384,6,0,0,60,51,4,0,10429,2,20,1420,10,"M1420,S,T,N,W8,",21135037,75021749,0,0,8,65535
Android,10,20942,1,5,49928,0,16384,6,0,0,60,51,4,0,10429,2,20,1420,10,"M1420,S,T,N,W8,",21135037,75021749,0,0,8,65535
Android,10,24098,1,5,46772,0,16384,6,0,0,60,51,4,0,48083,2,20,1420,10,"M1420,S,T,N,W8,",3776125940,75017536,0,0,8,65535
Android,10,20942,1,5,49928,0,16384,6,0,0,60,51,4,0,10429,2,20,1420,10,"M1420,S,T,N,W8,",21135037,75021749,0,0,8,65535
Android,10,30195,1,5,40675,0,16384,6,0,0,60,51,4,0,8975,2,20,1420,10,"M1420,S,T,N,W8,",2786001441,75013314,0,0,8,65535
Android,12,31097,1,5,5270,0,16384,6,0,0,60,56,4,0,57700,2,20,1400,10,"M1400,S,T,N,W10,",3942109770,2511304395,0,0,10,65535
iOS,14.5,57858,1,5,0,0,16384,6,0,104,64,45,4,0,26100,2,20,1400,11,"M1400,N,W5,N,N,T,S,E,E,",3268970697,312070328,0,0,5,65535
Android,10,30195,1,5,40675,0,16384,6,0,0,60,51,4,0,8975,2,20,1420,10,"M1420,S,T,N,W8,",2786001441,75013314,0,0,8,65535
Android,12,149,1,5,21492,0,16384,6,0,0,60,51,4,0,64354,2,20,1412,10,"M1412,S,T,N,W9,",438976526,45496794,0,0,9,65535
Android,10,15880,1,5,54990,0,16384,6,0,0,60,51,4,0,38858,2,20,1420,10,"M1420,S,T,N,W8,",2862115550,75021328,0,0,8,65535
Android,10,30195,1,5,40675,0,16384,6,0,0,60,51,4,0,8975,2,20,1420,10,"M1420,S,T,N,W8,",2786001441,75013314,0,0,8,65535
Android,10,30195,1,5,40675,0,16384,6,0,0,60,51,4,0,8975,2,20,1420,10,"M1420,S,T,N,W8,",2786001441,75013314,0,0,8,65535
Android,10,42253,1,5,28617,0,16384,6,0,0,60,51,4,0,24203,2,20,1420,10,"M1420,S,T,N,W8,",2005464632,75012593,0,0,8,65535
iOS,16.1,54564,1,5,0,0,16384,6,0,0,64,49,4,0,38612,2,20,1460,11,"M1460,N,W5,N,N,T,S,E,E,",2282372982,1033456813,0,0,5,65535
Android,9,36899,1,5,38359,0,16384,6,0,0,60,49,4,0,9013,2,20,1460,10,"M1460,S,T,N,W8,",3116763707,91332588,0,0,8,65535
Android,13,18416,1,5,47459,0,16384,6,0,0,60,48,4,0,24973,2,20,1400,10,"M1400,S,T,N,W9,",2237369250,910576763,0,0,9,65535
Android,10,335,1,5,5000,0,16384,6,0,0,60,51,4,0,31722,2,20,1420,10,"M1420,S,T,N,W8,",3205406710,75009150,0,0,8,65535
Android,11,27056,1,5,57421,0,16384,6,0,0,60,51,4,0,23638,2,20,1452,10,"M1452,S,T,N,W8,",3020836615,1229266202,0,0,8,65535
Android,11,27056,1,5,57421,0,16384,6,0,0,60,51,4,0,23638,2,20,1452,10,"M1452,S,T,N,W8,",3020836615,1229266202,0,0,8,65535
iOS,16.1,54564,1,5,0,0,16384,6,0,0,64,49,4,0,38612,2,20,1460,11,"M1460,N,W5,N,N,T,S,E,E,",2282372982,1033456813,0,0,5,65535
Android,11,27056,1,5,57421,0,16384,6,0,0,60,51,4,0,23638,2,20,1452,10,"M1452,S,T,N,W8,",3020836615,1229266202,0,0,8,65535
Android,9,46538,1,5,29232,0,16384,6,0,0,60,47,4,0,443,2,20,1460,10,"M1460,S,T,N,W8,",318374507,91320411,0,0,8,65535
Android,12,8861,1,5,12780,0,16384,6,0,0,60,51,4,0,19087,2,20,1412,10,"M1412,S,T,N,W9,",2458561414,45418218,0,0,9,65535
Android,11,60176,1,5,24301,0,16384,6,0,0,60,51,4,0,37724,2,20,1452,10,"M1452,S,T,N,W8,",3254192497,1229264585,0,0,8,65535
Android,9,27019,1,5,8548,0,16384,6,0,0,60,51,4,0,31430,2,20,1360,10,"M1360,S,T,N,W8,",1046581911,13480947,0,0,8,65535
Android,6.0.1,28124,1,5,48183,0,16384,6,0,0,60,47,4,0,45505,2,20,1460,10,"M1460,S,T,N,W6,",3191487462,5081041,0,0,6,65535
Android,6.0.1,28124,1,5,48183,0,16384,6,0,0,60,47,4,0,45505,2,20,1460,10,"M1460,S,T,N,W6,",3191487462,5081041,0,0,6,65535
Android,6.0.1,28124,1,5,48183,0,16384,6,0,0,60,47,4,0,45505,2,20,1460,10,"M1460,S,T,N,W6,",3191487462,5081041,0,0,6,65535
Android,6.0.1,28124,1,5,48183,0,16384,6,0,0,60,47,4,0,45505,2,20,1460,10,"M1460,S,T,N,W6,",3191487462,5081041,0,0,6,65535
Android,6.0.1,28124,1,5,48183,0,16384,6,0,0,60,47,4,0,45505,2,20,1460,10,"M1460,S,T,N,W6,",3191487462,5081041,0,0,6,65535
Windows,10,25669,1,5,16819,0,16384,6,0,0,52,114,4,0,35790,2,20,1460,8,"M1460,N,W8,N,N,S,",1419509525,,,0,8,8192
Android,6.0.1,28124,1,5,48183,0,16384,6,0,0,60,47,4,0,45505,2,20,1460,10,"M1460,S,T,N,W6,",3191487462,5081041,0,0,6,65535
Android,6.0.1,28124,1,5,48183,0,16384,6,0,0,60,47,4,0,45505,2,20,1460,10,"M1460,S,T,N,W6,",3191487462,5081041,0,0,6,65535
Android,12,4726,1,5,16915,0,16384,6,0,0,60,51,4,0,22161,2,20,1412,10,"M1412,S,T,N,W9,",2838063456,45295251,0,0,9,65535
Windows,10,2849,1,5,63015,0,16384,6,0,0,52,115,4,0,53343,2,20,1460,8,"M1460,N,W8,N,N,S,",1059495291,,,0,8,64240
Mac OS,10.15.7,14086,1,5,0,0,16384,6,0,0,64,55,4,0,62962,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",1579986027,4242221903,0,0,6,65535
Android,6.0.1,23285,1,5,53022,0,16384,6,0,0,60,47,4,0,42553,2,20,1460,10,"M1460,S,T,N,W6,",3174189703,5080473,0,0,6,65535
Android,10,15084,1,5,64263,0,16384,6,0,0,60,46,4,0,14410,2,20,1380,10,"M1380,S,T,N,W8,",223426226,152886147,0,0,8,65535
Android,10,15084,1,5,64263,0,16384,6,0,0,60,46,4,0,14410,2,20,1380,10,"M1380,S,T,N,W8,",223426226,152886147,0,0,8,65535
Windows,10,15032,1,5,2775,0,16384,6,0,0,52,117,4,0,47609,2,20,1460,8,"M1460,N,W8,N,N,S,",3046537476,,,0,8,64240
Android,10,15084,1,5,64263,0,16384,6,0,0,60,46,4,0,14410,2,20,1380,10,"M1380,S,T,N,W8,",223426226,152886147,0,0,8,65535
iOS,16.3.1,36675,1,5,0,0,16384,6,0,0,64,48,4,0,56194,2,20,1220,11,"M1220,N,W6,N,N,T,S,E,E,",4063685720,377453173,0,0,6,65535
Android,10,32475,1,5,1414,0,16384,6,0,0,60,55,4,0,52868,2,20,1412,10,"M1412,S,T,N,W8,",1375063587,118475685,0,0,8,65535
Android,10,43412,1,5,56012,0,16384,6,0,0,60,55,4,0,32472,2,20,1412,10,"M1412,S,T,N,W8,",1449925924,118474728,0,0,8,65535
Android,7.1.2,21350,1,5,61881,0,16384,6,0,0,60,242,4,0,8308,2,20,1360,10,"M1360,N,W0,S,T,",3241702438,2756381458,0,0,0,13600
Android,7.1.2,21350,1,5,61881,0,16384,6,0,0,60,242,4,0,8308,2,20,1360,10,"M1360,N,W0,S,T,",3241702438,2756381458,0,0,0,13600
Android,9,60000,1,5,56782,0,16384,6,0,0,60,54,4,0,64671,2,20,1452,10,"M1452,S,T,N,W8,",1279444645,6167403,0,0,8,65535
Windows,10,28577,1,5,27887,0,16384,6,0,0,52,111,4,0,44384,2,20,1460,8,"M1460,N,W8,N,N,S,",3145854365,,,0,8,64240
Android,7.0,19434,1,5,28430,0,16384,6,0,0,60,58,4,0,45308,2,20,1460,10,"M1460,S,T,N,W8,",205684097,21500559,0,0,8,65535
Android,7.0,19434,1,5,28430,0,16384,6,0,0,60,58,4,0,45308,2,20,1460,10,"M1460,S,T,N,W8,",205684097,21500559,0,0,8,65535
Mac OS,10.15.7,21639,1,5,0,0,16384,6,0,0,64,50,4,0,62082,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",876090322,2358026459,0,0,6,65535
Android,7.0,19434,1,5,28430,0,16384,6,0,0,60,58,4,0,45308,2,20,1460,10,"M1460,S,T,N,W8,",205684097,21500559,0,0,8,65535
Android,7.0,19434,1,5,28430,0,16384,6,0,0,60,58,4,0,45308,2,20,1460,10,"M1460,S,T,N,W8,",205684097,21500559,0,0,8,65535
Android,12,20168,1,5,40961,0,16384,6,0,0,60,54,4,0,59723,2,20,1452,10,"M1452,S,T,N,W8,",415077969,2452359268,0,0,8,65535
Windows,10,31340,1,5,22752,0,16384,6,0,0,52,121,4,0,9350,2,20,1412,8,"M1412,N,W8,N,N,S,",283095977,,,0,8,64240
Windows,10,31340,1,5,22752,0,16384,6,0,0,52,121,4,0,9350,2,20,1412,8,"M1412,N,W8,N,N,S,",283095977,,,0,8,64240
Android,12,47619,1,5,13510,0,16384,6,0,0,60,54,4,0,63723,2,20,1452,10,"M1452,S,T,N,W8,",880240589,2452360060,0,0,8,65535
Android,12,21588,1,5,63200,0,16384,6,0,0,60,53,4,0,7675,2,20,1150,10,"M1150,S,T,N,W9,",3538954071,43966883,0,0,9,65535
Windows,10,31340,1,5,22752,0,16384,6,0,0,52,121,4,0,9350,2,20,1412,8,"M1412,N,W8,N,N,S,",283095977,,,0,8,64240
Mac OS,10.15.7,21639,1,5,0,0,16384,6,0,0,64,50,4,0,58585,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",2069142760,2298536398,0,0,6,65535
